Country,Bank,BankName value,Schemes
ES,Abanca,es-abanca-ob,"SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER"
ES,ING,es-ing-ob,SEPA_CREDIT_TRANSFER
ES,N26,es-n26-ob,"SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER"
