market,display_bank_name,bank_name,pis_capabilities
FR,Crédit Agricole de Franche-Comté,fr-creditagricolefranchecomte-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Guadeloupe,fr-creditagricoleguadeloupe-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de la Corse,fr-creditagricolelacorse-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Martinique-Guyane,fr-creditagricolelamartiniqueetdelaguyane-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole du Languedoc,fr-creditagricolelanguedoc-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de l'Anjou et du Maine,fr-creditagricolelanjouetdumaine-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de la Réunion,fr-creditagricolelareunion-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de la Touraine et du Poitou,fr-creditagricolelatourauneetdupoitou-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Loire Haute-Loire,fr-creditagricoleloirehauteloire-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Lorraine,fr-creditagricolelorraine-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole du Morbihan,fr-creditagricolemorbihan-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Nord De France,fr-creditagricolenorddefrance-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole du Nord Est,fr-creditagricolenordest-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole Nord Midi-Pyrénées,fr-creditagricolenordmidipyrenees-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Normandie,fr-creditagricolenormandie-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Normandie Seine,fr-creditagricolenormandieseine-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
FR,Crédit Agricole de Paris et d'Ile de France,fr-creditagricoleparisetdiledefrance-ob,"{SEPA_INSTANT_CREDIT_TRANSFER,SEPA_CREDIT_TRANSFER}"
