Country,Bank,BankName value,Schemes
NO,Jernbanepersonalets bank og forsikring,no-jernbanepersonalets-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,KLP Banken,no-klpbanken-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Kvinesdal Sparebank,no-kvinesdal-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Lillesands Sparebank,no-lillesands-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Romerike Sparebank,no-lillestrombanken-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Luster Sparebank,no-luster-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Maritime og Merchant Bank,no-maritimeogmerchantbank-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Marker Sparebank,no-marker-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,MelhusBanken,no-melhusbanken-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,MyBank ASA,no-mybank-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Næringsbanken,no-naeringsbanken-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Nidaros Sparebank,no-nidarossparebank-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Nordea,no-nordea-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER"
NO,Nordic Corporate Bank,no-nordiccorporatebank-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,OBOS-banken AS,no-obos-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Odal Sparebank,no-odal-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Ofoten Sparebank,no-ofoten-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Oppdalsbanken,no-oppdalsbanken-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Orkla Sparebank,no-orkla-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Ørland Sparebank,no-orland-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Ørskog Sparebank,no-orskog-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Agder Sparebank,no-ostreagdersparebank-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Pareto Bank ASA,no-pareto-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Rindal Sparebank,no-rindal-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,RomsdalsBanken,no-romsdalsbanken-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,RørosBanken,no-rorosbanken-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Rogaland Sparebank,no-sandnes-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Selbu Sparebank,no-selbu-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Skagerrak Sparebank,no-skagerrak-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Skudenes & Aakra Sparebank,no-skudenes-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Skue Sparebank,no-skue-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Sogn Sparebank,no-sogn-sparebank-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Søgne og Greipstad Sparebank,no-sogneoggreipstad-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,Soknedal Sparebank,no-soknedal-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Sørøst-Norge,no-sparebank1bv-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
NO,SpareBank 1 Gudbrandsdal,no-sparebank1gudbrandsdal-ob,"NORWEGIAN_DOMESTIC_CREDIT_TRANSFER,INSTANT_NORWEGIAN_DOMESTIC_CREDIT_TRANSFER_STRAKS"
